a9813cc7 10:1767
f6c66964 24:2717
cc7b5484 19:1767
59524941 17:3847
8c6e7038 10:4645
8f247562 19:2837
64c383a4 72:3847
a5cd8058 28:3847
7914a854 10:5756
f114bc2e 21:5867
e8bce868 18:5767
e64ed1d3 480:6665
da3a803c 13:6857
1be0245d 10:4837
932d7486 13:0605
710deb48 23:1615/39:5655/10:7711n
f8d3b0eb 11:8685
a224d02f 42:6867/15:6857
43fc02b6 11:5767
e390ada7 19:4837
ea7d3824 82:4645
dfb988a8 11:3736
e50c2eb0 13:3727
15823c26 39:3847/11:8685
d1b5ba01 20:2625
2e249757 37:3635
55f906dd 12:0525
a71d47ba 11:6763
7aa0f083 22:6787
a1339546 11:2717
e6a1af40 11:1514
8c003f7a 12:6665
b705e627 15:6665
f99dff72 16:4837
dac4cb8c 10:6756
9809fbc6 15:5665/11:2717
e61b629f 20:4645/13:6857
aa8f82c7 19:8685
97a48c32 15:0525
01468bac 18:7766
23afc7d6 20:3746/61:3635
6c24dae6 67:0605/67:4857
4666f1ba 48:5767
8f798efc 10:6857
f150d069 10:3727
a457a3ca 19:8685
3509740b 20:6665
cc3f0234 13:4645
83b41278 16:3727
8fb4d7ac 20:6857
3e8e878d 73:1767
d586539f 13:3847
a9cdccbc 13:6857/13:4837
47b861d4 21:0605/24:4857
fa1a6b6e 12:6463
efb2fbed 24:6857/21:0605
e2926192 26:861/15:6463
a72659a1 11:2625
b9ccd0f8 12:4837
74869163 19:6867
7c8610ba 12:3847
2e796836 20:2827
107ecc86 12:8685
af8d4df6 15:6463
eaa95fdb 36:3827
f2ec19af 18:2625
37636523 280:6665
b705500f 13:6857
9ee2539e 19:3746
bf0d47c8 13:5767
934b4596 12:6564/27:4645/43:6867/23:6857/20:1767
4f925ab7 10:2837
d66f6e16 46:3727
7ec69915 14:2837
00dc974a 123:1737/13:2625/12:3534
5df1851a 28:6867
fa21e723 12:1707/13:3635
e20a9435 10:0504
d561b650 72:2837
8c4d1cb1 69:8685
bae1da6b 16:241
9ee387c2 15:6857
c9347d29 10:3635
94ab05e7 106:0605/133:2837
